,content
10,"[개발 스터디 모집 내용 예시]스터디 주제 : 정보처리기사 2월 23일 대비스터디 목표 : 필기 합격예상 스터디 일정(횟수) : 1~2회예상 커리큘럼 간략히 : 정처기 전체 필기 공부 및 문제 풀이예상 모집인원 : 5명스터디 소개와 개설 이유 : 저는 강제성이 있어야 공부를 하는 사람이라 강제성을 만들고 싶어요!스터디 관련 주의사항 : 열심히 할 사람을 원해요!스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : sue5520607@skuniv.ac.kr 메일로 이름, 전화번호를 남겨주세요!위치 : 홍대입구역 근처 카페요일 : 주말시간 : 14:00(변경 가능성 o)1월 30일까지 연락주세요!"
11,"[개발 스터디 모집 내용 예시]스터디 주제 : 알고리즘스터디 목표 : 1주에 5문제, 화요일 10시 회고예상 스터디 일정(횟수) : 매주 화요일예상 커리큘럼 간략히 : 카카오 등 공개된 기술 기업들의 기출문제와 프로그래머스 레벨2 ~ 레벨3 문제예상 모집인원 : 4명스터디 소개와 개설 이유 : 24년 하반기 취업스터디 관련 주의사항 : 약속을 중요하게 여기는 분만 지원해주세요!스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/gPMsZs5f궁금한 사항, 건의 사항은 오픈카톡에서 말씀해주세요!"
12,"[개발 스터디 모집 내용 예시]스터디 주제 : 모각코스터디 목표 : 매주 꾸준히 코딩하기예상 스터디 일정(횟수) : 토요일 오전 필수 / 일요일 자율예상 커리큘럼 간략히 :예상 모집인원 : 6명스터디 소개와 개설 이유 : 모여서 열심히 각자 코딩해서 좋은 곳으로 취직 or 이직해요스터디 관련 주의사항 : 토요일 필참입니다스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/s3ZTGs5f매주 토요일 오전 10-1시 강서구 지역(가양 등촌 마곡나루 등등..) 모각코 모집합니다. 인원 모이면 당장 이번주부터 모일 생각입니다 많이 참여해주세요!!!"
13,"🚀 자바 스프링 5개월 과정 수업 (유료) 🚀안녕하세요! 자바 스프링 현업 개발자 기초부터 실무, 프로젝트까지 수업 진행합니다. ✨ 수업 내용:-자바 기초: 자바 문법과 객체지향 프로그래밍 기초를 탄탄히 학습합니다.-스프링 프레임워크: 현업에서 사용되는 스프링 프레임워크를 기초부터 학습합니다.-데이터베이스 연동: 스프링과 데이터베이스 연동에 대한 이해를 통해 실무에서 필요한 데이터 관리 기술을 습득합니다. 💡 대상:-자바, 스프링 기초부터 개념을 확실하게 다지고 싶으신 분-자바 프로그래밍에 관심 있으신 분-웹 개발에 도전하고자 하시는 분-스프링 프레임워크 실무 경험을 쌓고 싶은 분-실무 프로젝트를 경험하며 포트폴리오를 만들고 싶은 분 📅 일정 및 장소:기간: 3개월 16회차수업 시간: -자바 (1개월) : 주 2회 4시간 8회차-스프링 (2개월) : 주 1회 2시간 8회차-프로젝트 (2개월) 🎓 수업 특징:현업 개발자 강의 + 멘토링 + 수업 관리실무에서 활용 가능한 실전 경험을 공유합니다.입문자도 기초부터 개념을 학습하며 체계적으로 배우실수 있습니다. ※ 진짜로 하실분만 연락 부탁드립니다 📝 수강 문의: https://open.kakao.com/o/so4IVj4f"
14,"스터디 주제 : 삼성역, 코엑스 웹개발 모각코스터디 목표 : 퇴근 후 모여 자기전까지 모각코 예상 스터디 일정(횟수) : 일단 화,수로 시작예상 커리큘럼 간략히 :예상 모집인원 : 6스터디 소개와 개설 이유스터디 관련 주의사항 :스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)댓글 남겨주시고 오픈채팅방 들어오시면 됩니다.https://open.kakao.com/o/gpr1kZ0f 비번 0001"
15,"안녕하세요 🙇  프론트엔드 멘토링 크루 코드웨이브입니다저희가 제공해드리는 사전 과제를 완성해주시면,1:1로 코드 리뷰를 해 드리는 방식의 멘토링을 통해여러분이 코드를 구성할 때 바라보는 시야를 넓힐 수 있도록 도와드리려고 합니다🤔 어떤 방식으로 진행하실껀가요사전에 제공하는 과제를 완성해주시고 1:1로 코드리뷰를 진행하는 방식으로 하려고 합니다아래 3가지 방법 중 원하시는 방법 한 가지를 선택해주시면 됩니다pull request를 통한 간단한 리뷰온라인 실시간 멘토링오프라인 실시간 멘토링 (잠실에서만 가능) ⬇멘토링 후기 보기review⬇자세한 사항은 아래 링크를 통해 확인 후 문의해주세요https://velog.io/@popp30/1 instagram: _code.wave_"
16,"안녕하세요, ​현재 스타트업에서 풀스택 개발자로 재직중인 개발자입니다.​입문개발자로서 실무개발을 희망하시는 분, 개발에 입문하고자 하시는 분등등학교에서 교양과목으로 모바일, 웹, front/beck -end 두루 경험해보고 싶으신 분,취미로 하시는분등등 각각에 환경에 맞춰서 과외해 드립니다. ^^ iOS 앱 개발 부터 웹 / 백엔드 등 자바 스프링 / 자바스크립트 기반의 프레임워크 (NodeJS, React, ReactNative 등등)강의도 가능합니다. ​가능한 커리큘럼은 아래와 같구요. 보통 2달만에 원하시는 목표가 가능한 수준까지 맞춰 드립니다.​iOS - Basic Swift, RxSwift, Reactive Programming, Open Source …React/ReactNative - Html/Css, Class/Functional Component, Typescript, Hooks(with Custom) …Server - ExpressJS - TypeScript, NestJS, Java/Kotlin Spring​실무에 맞는 커리큘럼이고, 입문자들도 무난하게 들으실수 있을겁니다.단기간에 빠르게 배우시길 원하시는 분이나 체계적으로 배우고 싶으신 분들에게 적합할듯 합니다.참고로 찔러보기 하시는 분들 많으시는데.... 그러지 맙시다^^​문의/관심 있으신 분은 메일로 연락 부탁드립니다. 참고로 유료입니다.joke716@naver.com"
17,"[개발 스터디 모집 내용 예시]스터디 주제 : 오브젝트 도서를 읽고 인사이트 공유스터디 목표 : 오브젝트 도서 완독예상 스터디 일정(횟수) : 2024-01-30 ~ 10주 예상예상 커리큘럼 간략히 : 매 주 50P 정도 분량의 책을 읽고 정리하고 해당 자료를 공유하며 오프라인에서는 인사이트를 공유하거나 궁금한 부분과 토론을 진행하는 방식예상 모집인원 : 5명 예상 (현재는 4인, 1인 추가 모집)스터디 소개와 개설 이유 : 평소 개발책 스터디를 자주 진행합니다만, 더 다양한 분들과 함께 스터디를 진행하고 싶어서 개설하게 되었습니다.여러 사람들과 같은 책을 읽어도 다양한 인사이트와 시각을 볼 수 있는게 상당히 흥미롭고 책도 같이 읽을 수 있어서 좋아하니 많이많이 지원해주세요~~스터디 관련 주의사항 : 상세한 주의사항은 꼭 해당 게시글을 읽어주시길 바랍니다.가장 대표적으로 스터디룸 금액이 들고 보증금 제도를 채용하고 있으니 이점 양해 부탁드립니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://open.kakao.com/o/sHhhgV3f"
18,"스터디 목표 : 혼자서는 죽어도 공부 시간 안내는 나를 위한 퇴근 후 개인 공부 시간 확보예상 스터디 일정(횟수)화요일, 목요일(공휴일 제외) 오후 7시 30분-8시 30분 진행위의 적힌 시간은 코어 시간대일뿐 더 일찍 와서 해도 되고 더 늦게 까지 공부하셔도 됩니다.또한 위의 요일 외에도 단톡방에서 개별 모집하여 진행하셔도 괜찮습니다. 멋지십니다.시작일은 1월 25일(목)부터 입니다.예상 커리큘럼 간략히 화, 목에 지정한 위치로 오셔서 인사 가볍게 나누고 바로 개인 공부 진행합니다. 장소는 문정역 근처에 있는 카페에서 진행할 예정이고, 딴짓하기 방지용으로 자리는 따로 앉지 않고 옹기종기 모여앉으려 합니다.예상 모집인원 : 6명 스터디 관련 주의사항 : 1. 본 스터디는 영원불멸로 계속 하는 것이 아닌 3월 29일까지만 진행하려 합니다. 2. 평일 퇴근 후 스터디인지라 출결을 빡빡하게 하진 않으려 합니다. 스스로 열심히 하실 분들이 오시면 좋겠습니다.3. 개발자뿐 아니라 다른 공부 하시는 분들이 오셔도 상관없습니다. 같이 공부해요.4. 직장인뿐만 아니라 취준 혹은 다른 형태의 분들도 오셔도 괜찮습니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://open.kakao.com/o/gbQFkh5f위의 주소로 오신 후 간단히 인사해주시면 안내드리겠습니다."
19,"📍모집 공고▪모집 기간: 01.08(월) ~ (모집 정원 마감때까지)▪모집 인원: 00명(해당 언어별 모집되는 인원에 따라 변동이 있습니다)▪모임장소 : 서울 인근(인원에 따라 유동적)▪지원 방법: 구글폼 작성(하단에 있습니다) 😟문과는 코딩 안할 줄 알았던 사람🧐남들 다 하는 코딩 찍먹 해보고 싶은 사람🙄다들 코딩, 코딩 하는데 그게 뭔지 같이 좀 알고 싶은 사람🫣코딩 배워보고는 싶은데 혼자서는 도저히 엄두가 안나는 사람(하나라도 해당된다면 당신은 저희와 함께하실 수 있습니다!) 이젠 코딩이 기초 교육이 되는 시대!꼭 이공계 전공이 아니더라도 프로그래밍 언어 하나쯤은 할 줄 알아야 하는 지금!이번 방학 동안 대표적인 언어 파이썬, C++, JAVA 중 하나라도 마스터 해보고 싶은 사람을 찾습니다!!코딩 기초 스터디는 코딩과 전혀 관계 없는(줄 알았던) 전공을 가진 대학생들이 모여 만든 스터디입니다!! 📍기본 커리큘럼-파이썬: 머신러닝, 데이터 사이언스 등에 사용되는 언어(제일 쉬워요)1회차: 파이썬 기본 개념 및 노트북 세팅2회차: 변수, 문자열 등 기본 데이터3회차: 리스트, 튜플 등 자료구조4회차: 반복문5회차: 함수 -C++: 온라인 게임 개발, 임베디드 시스템 등에 사용되는 언어(게임 개발은 이거)1회차: C++ 기본 개념 및 노트북 세팅2회차: 변수3회차: 조건문4회차: 반복문5회차: 함수 -JAVA: 안드로이드 앱 개발 등 IT계열 전반에 사용되는 언어(취업 제일 잘된대요)1회차: JAVA의 기본 개념 및 노트북 세팅2회차: 변수3회차: 연산자4회차: 조건문과 반복문5회차: 배열(각 언어의 커리큘럼은 변경될 수 있습니다) 🤖당신은 로봇이 아닙니까?(지원해주세요) : https://forms.gle/uFkYZwESyyhciLkd6"
20,"1. 모집 현황: (3/5)2. 취업 분야: 코딩이 필요한 모든 분야3. 모집 언어: 파이썬, C++4. 스터디 기간: 현재 진행 중이며 이번 차수는 2월 18일까지입니다.5. 스터디 시간: 매주 화요일 비대면 자율 스터디 (20시 ~ 22시 30분) , 목요일 비대면 문제풀이 (20시 ~ 22시 30분), 일요일 대면 리뷰 (10시~12시, 장소 잠실새내역)6. 목표: 코딩 테스트를 위한 기본 개념 + 문제풀이7. 스터디 소개: 안녕하세요 저는 현재 Data Scientist로 근무중인 직장인입니다. 직장을 다니면서 코딩 공부를 병행하고 싶어서 스터디를 모집 하려고 합니다. 현재 저 포함해서 3분이서 스터디를 진행하고 있습니다. 초심자인 분도 계시고 저처럼 직장을 다니시면서 이직을 위해 공부하시는 분이 계십니다. 스터디에 합류하셔서 평일 주말 열심히 노력해서 원하시는 바를 이루실 분을 모시고 싶습니다!! 저희와 같이 열정적으로 공부하실 분들은 스터디 신청해주세요! 저희 스터디 상세 안내는 노션 페이지에서 보실수 있습니다! 노션 페이지를 자세히 보시고 스터디 참가 신청 해주세요!https://juhyeon-cv.notion.site/Coders-b95622a54b494a8d9aa1da31965e24e3?pvs=48. 위 구글 폼을 통해 신청해 주세요! https://docs.google.com/forms/d/e/1FAIpQLSfuKMsEEGgBzURgdyZfq7Sh5UljRG4dkqIFDbuXeMCgXv_vSA/viewform?usp=sf_link9. 스터디 문의 사항은 아래 카카오 오픈 채팅방으로 문의주세요!https://open.kakao.com/o/sXBCGa5f"
21,"스터디 진행 방식스터디 당일에 랜덤으로 질문 주제를 정합니다.인성 질문 2개, 기술 질문 4개씩인성 질문 e.g. “개발자가 되고 싶은 이유가 무엇인가요?”기술 질문 e.g. “이 기술 스택을 선택한 이유가 무엇인가요?”당황하는 연습도 중요하다고 생각해 랜덤으로 질문으로 선택하게 됐습니다.밤 20시, 해당 질문에 대한 답변을 보지 않은 채 이야기합니다.20시를 1순위로 하되, 합의 하에 시간을 유동적으로 정해도 됩니다.7일 중 3일 진행합니다. (해당 주의 마지막 스터디 날에, 다음 주 일정을 픽스합니다)캠 켜고 온라인으로 진행합니다.총 4명으로 진행을 하며, 2:2로 나누어 진행을 합니다.대상면접 준비가 반드시 필요하신 분프론트엔드 개발자로 취업을 준비하고 계신 분이력서, 포트폴리오가 어느정도는 준비되신 분주 3회 저녁 20시에 시간 투자가 가능하신 분벌금제공용 통장에 30,000원씩 입금합니다.전 주에 픽스했던 스터디 날에 결석해야 하는 경우 5,000원씩 벌금이 늘어납니다.정말 피치 못할 사정(경조사, 면접, 코테)의 경우만 제외합니다.스터디 4주가 끝나면 자신이 쌓은 벌금은 상대방이 가져가게 됩니다.중도 탈퇴 시, 반환금은 남은 스터디원과 나눠 갖습니다.기간1월 29일 ~ 2월 25일 (4주)현재 2명 있으며, 2명 더 모집합니다.면접에 대한 고민이 많고, 면접에서 벽을 느낀 한 프론트엔드 개발자 준비생입니다.https://www.superookie.com/contents/5ddd14198b129f585f1fa15f이 글과, 여러 멘토 분들이 추천해준 방식인 “경험을 직접 이야기하며 내 꺼로 만드는 것”이 중요하다는 것을 느껴 스터디를 기획하게 되었습니다. 높은 열정과, 저와 뜻이 같은 분과 함께 하고 싶습니다.보증금이 적은 금액이 아니고, 규칙 또한 빡셉니다. 정말로 열심히 할 의지가 있으신 분들만 신청해주세요 !신청은 아래 구글 폼으로 해주세요.https://docs.google.com/forms/d/e/1FAIpQLSf_90lmamGcs2RiggXiXTcWJ2ZJXE1ydy1ODp_M05x8zvAo5Q/viewform?usp=sf_link질문은 아래 카카오톡 오픈채팅방으로 주세요.https://open.kakao.com/o/gGmdEWYf"
22,"안녕하세요!!현재 5명이서 알고리즘 스터디를 진행하고 있어요!저희가 Pair Programming 방식으로 진행하고 있기 때문에한분을 더 충원하게 되었습니다 🙃➡➡시간: 매주 토요일 12:30 ~ 15:00방법: 오프라인(장소는 사당아니면 범계)사용언어: Java, Kotlin, JS 등등 (메인 언어는 Java입니다. Java를 읽고 해석할줄 안다면 가능합니다.)코딩테스트 사이트: 백준 온라인 저지지원자격: 코딩테스트 초,중급이신분이면 됩니다.스터디 커리큘럼은 아래와 같습니다.1주차 스택2주차 큐, 덱 ☑ 여기까지 진행한 상태입니다~3주차 DFS, 백트래킹4주차 BFS, 미로탐색5주차 DP6주차 누적합7주차 그리디......(계속)💦 01/27(토) 이날부터 시작하실 수 있는 분만 연락주세요~~실력은 부족해도 열정만 있으시면 되요연락 주세요 🔥https://open.kakao.com/o/s73Fpa5f"
